stellar_mass_msun,rotation_percentile_150Myr,initial_omega_sun,track_max_age_myr,track_final_period_days,rotation_match,nearest_or_crossing_age_myr,nearest_or_matched_period_days,rotation_match_age_myr,current_euv_flux_erg_s_cm2,current_x_flux_erg_s_cm2,current_x_luminosity_erg_s,current_mdot_msun_yr,cumulative_euv_fluence_erg_cm2,cumulative_x_fluence_erg_cm2,cumulative_wind_column_kg_m2
0.2,82,14.75,12000.0,134.17105250167043,True,11508.5700573117,131.0,11508.5700573117,42.91220141162573,13.89651638268976,3.49742898280649e+26,1.31914299426883e-15,6.428743018777602e+19,5.6326758237992346e+19,85908.0958468471
0.2,83,14.99,12000.0,134.17105250167043,True,11508.5700573117,131.0,11508.5700573117,43.27548475567145,13.932844717094333,3.50657197707532e+26,1.31914299426883e-15,6.4612291724625125e+19,5.674230916914043e+19,86329.52938434895
0.2,84,15.24,12000.0,134.17105250167043,True,11508.5700573117,131.0,11508.5700573117,43.27548475567145,13.93624990251534,3.50742898280649e+26,1.32828598853766e-15,6.481655114278798e+19,5.702938878116284e+19,86593.40495172735
0.2,85,15.48,12000.0,134.17105250167043,True,11508.5700573117,131.0,11508.5700573117,43.27548475567145,13.972578236919912,3.51657197707532e+26,1.32828598853766e-15,6.505679733382544e+19,5.73167916918306e+19,86877.48149542586
0.2,86,15.72,12000.0,134.17105250167043,True,11508.5700573117,131.0,11508.5700573117,43.27548475567145,13.97598342234092,3.51742898280649e+26,1.32914299426883e-15,6.534563193771625e+19,5.76852490585416e+19,87292.95276149866
0.2,87,15.78,12000.0,134.17105250167043,True,11508.5700573117,131.0,11508.5700573117,43.27548475567145,13.97598342234092,3.51742898280649e+26,1.32914299426883e-15,6.539628927653626e+19,5.778154815808062e+19,87377.3737841497
0.2,88,15.97,12000.0,134.17105250167043,True,11508.5700573117,131.0,11508.5700573117,43.27548475567145,14.012311756745492,3.52657197707532e+26,1.32914299426883e-15,6.5679544049789714e+19,5.811898146030577e+19,87770.00857316644
0.2,89,16.21,12000.0,134.17105250167043,True,11604.264328034324,131.0,11604.264328034324,42.91220141162573,13.899954468453,3.4982942687862705e+26,1.3195735671965676e-15,6.604702013980097e+19,5.8468339533920305e+19,88113.4077733139
0.2,90,16.21,12000.0,134.17105250167043,True,11604.264328034324,131.0,11604.264328034324,42.91220141162573,13.899954468453,3.4982942687862705e+26,1.3195735671965676e-15,6.604702013980097e+19,5.8468339533920305e+19,88113.4077733139
0.2,91,16.46,12000.0,133.51335126391717,True,11608.5700573117,131.0,11608.5700573117,42.91220141162573,13.89651638268976,3.49742898280649e+26,1.31914299426883e-15,6.63637541321337e+19,5.887623928145224e+19,88537.19640813518
0.2,92,16.7,12000.0,133.51335126391717,True,11608.5700573117,131.0,11608.5700573117,43.27548475567145,13.932844717094333,3.50657197707532e+26,1.31914299426883e-15,6.655501320731766e+19,5.911179365350102e+19,88758.38185774827
0.2,93,17.43,12000.0,133.51335126391717,True,11608.5700573117,131.0,11608.5700573117,43.27548475567145,13.97598342234092,3.51742898280649e+26,1.32914299426883e-15,6.739129816093162e+19,6.019341427739458e+19,89886.42030339912
0.2,94,17.92,12000.0,133.51335126391717,True,11654.065245139773,131.0,11654.065245139773,43.09471636091793,13.940004398844083,3.508373901944091e+26,1.3245934754860226e-15,6.786156788512385e+19,6.070765023012808e+19,90465.84489667599
0.2,95,18.53,12000.0,132.8620666236054,True,11708.5700573117,131.0,11708.5700573117,43.27548475567145,13.932844717094333,3.50657197707532e+26,1.31914299426883e-15,6.851654310788891e+19,6.150811148070191e+19,91256.16960701384
0.2,96,19.39,12000.0,132.8620666236054,True,11708.5700573117,131.0,11708.5700573117,43.27548475567145,13.97598342234092,3.51742898280649e+26,1.32914299426883e-15,6.9418469439899574e+19,6.264220759047709e+19,92434.53672971543
0.2,97,20.36,12000.0,132.21710513514128,True,11808.5700573117,131.0,11808.5700573117,42.91220141162573,13.932844717094333,3.50657197707532e+26,1.31914299426883e-15,7.051564968413389e+19,6.396818984451164e+19,93870.49550172655
0.2,98,22.07,12000.0,131.578375158643,True,11908.5700573117,131.0,11908.5700573117,42.91220141162573,13.893111197268754,3.49657197707532e+26,1.31914299426883e-15,7.217085315218712e+19,6.595265526894697e+19,96025.54259000918
